Link	Platform	Edition	Region	Activation type	Price	Seller	Rating	Stars	Seller Profile
https://funpay.com/en/lots/offer?id=26872393	pc	standard edition	снг	подарком	26.74	Taina888	2232.0	5.0	https://funpay.com/en/users/2471400/
https://funpay.com/en/lots/offer?id=26872347	pc	standard edition	аргентина	подарком	26.74	Taina888	2232.0	5.0	https://funpay.com/en/users/2471400/
https://funpay.com/en/lots/offer?id=26872319	pc	standard edition	турция	подарком	26.74	Taina888	2232.0	5.0	https://funpay.com/en/users/2471400/
https://funpay.com/en/lots/offer?id=26872300	pc	standard edition	украина	подарком	26.74	Taina888	2232.0	5.0	https://funpay.com/en/users/2471400/
https://funpay.com/en/lots/offer?id=26872286	pc	standard edition	россия	подарком	26.74	Taina888	2232.0	5.0	https://funpay.com/en/users/2471400/
https://funpay.com/en/lots/offer?id=28272866	pc	standard edition	турция	подарком	34.77	Trader4U	1913.0	5.0	https://funpay.com/en/users/5268206/
https://funpay.com/en/lots/offer?id=28272840	pc	standard edition	аргентина	подарком	34.77	Trader4U	1913.0	5.0	https://funpay.com/en/users/5268206/
https://funpay.com/en/lots/offer?id=28195313	pc	standard edition	казахстан	подарком	40.49	Trader4U	1913.0	5.0	https://funpay.com/en/users/5268206/
https://funpay.com/en/lots/offer?id=28195280	pc	standard edition	украина	подарком	34.77	Trader4U	1913.0	5.0	https://funpay.com/en/users/5268206/
https://funpay.com/en/lots/offer?id=28195263	pc	standard edition	россия	подарком	34.77	Trader4U	1913.0	5.0	https://funpay.com/en/users/5268206/
https://funpay.com/en/lots/offer?id=26897298	pc	standard edition		цифровой ключ	36.68	Trader4U	1913.0	5.0	https://funpay.com/en/users/5268206/
https://funpay.com/en/lots/offer?id=24966440	pc	standard edition			38.22	Asseimon	4961.0	4.0	https://funpay.com/en/users/3859088/
https://funpay.com/en/lots/offer?id=23479844	pc	standard edition	россия	подарком	32.28	GorMar	6827.0	5.0	https://funpay.com/en/users/4117232/
https://funpay.com/en/lots/offer?id=23330958	pc	standard edition	россия	подарком	35.76	SpiriTFury	10466.0	5.0	https://funpay.com/en/users/4454294/
https://funpay.com/en/lots/offer?id=22860950	pc	standard edition		цифровой ключ	32.42	SpiriTFury	10466.0	5.0	https://funpay.com/en/users/4454294/
https://funpay.com/en/lots/offer?id=26043172	pc	standard edition	турция		40.36	SayRelk	8326.0	5.0	https://funpay.com/en/users/5554570/
https://funpay.com/en/lots/offer?id=26042866	pc	standard edition	турция		33.8	SayRelk	8326.0	5.0	https://funpay.com/en/users/5554570/
https://funpay.com/en/lots/offer?id=27212452	pc	standard edition		цифровой ключ	34.87	az1kk	1785.0	5.0	https://funpay.com/en/users/3010175/
https://funpay.com/en/lots/offer?id=27212413	pc	premium edition		цифровой ключ	36.68	az1kk	1785.0	5.0	https://funpay.com/en/users/3010175/
https://funpay.com/en/lots/offer?id=23929829	pc	premium edition		цифровой ключ	25.98	Nrxfr	125.0	5.0	https://funpay.com/en/users/5639079/
https://funpay.com/en/lots/offer?id=28760905	pc	standard edition		цифровой ключ	25.48	Kutabaru	1156.0	5.0	https://funpay.com/en/users/8844227/
https://funpay.com/en/lots/offer?id=28760894	pc	dlc		цифровой ключ	36.32	Kutabaru	1156.0	5.0	https://funpay.com/en/users/8844227/
https://funpay.com/en/lots/offer?id=19394789	pc	premium edition			36.83	Malinka913	432.0	5.0	https://funpay.com/en/users/7391789/
https://funpay.com/en/lots/offer?id=29121971	pc	standard edition	снг	подарком	39.29	VanWan	704.0	5.0	https://funpay.com/en/users/5817208/
https://funpay.com/en/lots/offer?id=29121934	pc	standard edition	турция	подарком	39.29	VanWan	704.0	5.0	https://funpay.com/en/users/5817208/
https://funpay.com/en/lots/offer?id=29121912	pc	standard edition	аргентина	подарком	39.29	VanWan	704.0	5.0	https://funpay.com/en/users/5817208/
https://funpay.com/en/lots/offer?id=29121873	pc	standard edition	россия	подарком	39.29	VanWan	704.0	5.0	https://funpay.com/en/users/5817208/
https://funpay.com/en/lots/offer?id=29121851	pc	standard edition	украина	подарком	39.29	VanWan	704.0	5.0	https://funpay.com/en/users/5817208/
https://funpay.com/en/lots/offer?id=29121818	pc	standard edition	россия	с заходом на аккаунт	39.29	VanWan	704.0	5.0	https://funpay.com/en/users/5817208/
https://funpay.com/en/lots/offer?id=27476011	pc	standard edition	казахстан	подарком	32.79	Kladusnik	253.0	5.0	https://funpay.com/en/users/9181645/
https://funpay.com/en/lots/offer?id=27475783	pc	standard edition	россия	подарком	33.8	Kladusnik	253.0	5.0	https://funpay.com/en/users/9181645/
https://funpay.com/en/lots/offer?id=26912341	pc	standard edition	турция	с заходом на аккаунт	36.83	ArtSh0p	384.0	5.0	https://funpay.com/en/users/7531922/
https://funpay.com/en/lots/offer?id=25562544	pc	standard edition		цифровой ключ	28.25	Vadim223444	10796.0	5.0	https://funpay.com/en/users/1175505/
https://funpay.com/en/lots/offer?id=23179358	pc				30.27	Vadim223444	10796.0	5.0	https://funpay.com/en/users/1175505/
https://funpay.com/en/lots/offer?id=23132851	pc				35.31	Vadim223444	10796.0	5.0	https://funpay.com/en/users/1175505/
https://funpay.com/en/lots/offer?id=27209236	pc	standard edition	турция	подарком	32.46	The1Best1Seller1	1181.0	5.0	https://funpay.com/en/users/4895088/
https://funpay.com/en/lots/offer?id=27209211	pc	standard edition	казахстан	подарком	38.74	The1Best1Seller1	1181.0	5.0	https://funpay.com/en/users/4895088/
https://funpay.com/en/lots/offer?id=26935620	pc	standard edition	казахстан	подарком	28.25	potraqka	2364.0	5.0	https://funpay.com/en/users/4914857/
https://funpay.com/en/lots/offer?id=26935592	pc	standard edition	украина	подарком	25.22	potraqka	2364.0	5.0	https://funpay.com/en/users/4914857/
https://funpay.com/en/lots/offer?id=22703388	pc	standard edition	турция	с заходом на аккаунт	40.33	MikhailM21	382.0	5.0	https://funpay.com/en/users/8400027/
https://funpay.com/en/lots/offer?id=25862413	pc	standard edition	россия	подарком	35.31	lavik182	563.0	5.0	https://funpay.com/en/users/5240499/
https://funpay.com/en/lots/offer?id=20383289	pc				27.24	FOLTRADE	1132.0	5.0	https://funpay.com/en/users/6974474/
https://funpay.com/en/lots/offer?id=24254505	pc	expansion pass	турция	с заходом на аккаунт	33.3	B182	440.0	5.0	https://funpay.com/en/users/932696/
https://funpay.com/en/lots/offer?id=24254182	pc	standard edition	турция	с заходом на аккаунт	33.3	B182	440.0	5.0	https://funpay.com/en/users/932696/
